Année,films,fictions TV,jeux,variétés,journaux télévisés,magazines et documentaires,sport,émissions jeunesse,publicité,autres
1998,6,22,5,9,5,27,4,8,8,9
1999,5,22,5,8,5,30,4,8,8,8
2000,5,21,4,9,6,32,4,8,8,8
2001,5,21,4,8,6,33,4,8,8,8
2002,5,19,4,8,6,33,4,7,8,6
2003,5,18,4,8,6,33,4,6,8,8
2004,5,18,4,8,6,33,4,5,8,7
2005,5,19,5,8,6,32,4,5,8,8
2006,5,19,5,8,6,31,3,4,9,7
2007,5,19,6,8,6,32,3,4,9,7
2008,5,19,7,8,6,33,3,4,9,7
2009,5,18,8,9,6,32,3,4,9,7
2010,4,16,8,9,5,33,3,3,10,7
2011,4,26,4,7,2,31,3,2,10,7
2012,4,26,4,7,2,31,3,2,10,7
2013,4,25,4,7,2,32,3,2,10,7
2014,4,25,4,7,2,32,3,2,10,7
2015,4,25,4,7,2,32,3,2,10,7
2016,4,24,4,7,2,36,3,1,9,7
2017,3,23,4,7,2,35,3,1,9,7
2018,3,21,4,7,2,38,2,1,10,7
2019,3,21,4,7,2,37,2,1,11,7
2020,3,19,4,7,2,37,2,1,11,7
2021,3,20,4,7,2,38,2,1,11,7
2022,3,19,4,7,2,37,2,1,12,7
2023,3,20,3,7,2,38,1,1,12,7
